area_limpo,bathrooms_limpo,rooms_limpo,condo_limpo,garages_limpo,price_limpo
69,1.0,1.0,801.0,1.0,890000.0
136,3.0,3.0,1156.0,2.0,1461630.0
140,4.0,4.0,1380.0,2.0,1390001.0
69,2.0,2.0,800.0,0.0,960000.0
136,3.0,3.0,1410.0,2.0,1280000.0
136,3.0,3.0,1410.0,2.0,1280000.0
136,3.0,3.0,1410.0,2.0,1280000.0
136,3.0,3.0,1410.0,2.0,1280000.0
136,3.0,3.0,1410.0,2.0,1280000.0
136,3.0,3.0,1410.0,2.0,1280000.0
64,2.0,2.0,700.0,2.0,780000.0
55,1.0,2.0,700.0,1.0,489000.0
72,2.0,2.0,576.0,1.0,870000.0
68,2.0,2.0,830.0,1.0,960000.0
128,3.0,2.0,1650.0,2.0,1599000.0
